,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
14,מרצדס,A קלאס,-   AE PREMIUM PLUS,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,8.0,היברידי נטען (טורבו-בנזין),4.0,1332.0,218,5500.0,45.8,1620.0,6.6,235.0,,,90.9,215.0,15.6,70.0,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,145.2,272.9,310.0,,1680.0,2155.0,475.0,750.0,1600.0,225/45R18,35.0,2X4,1,5,1,A קלאס
15,מרצדס,A קלאס,-   AE EXCLUSIVE PLUS,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,8.0,היברידי נטען (טורבו-בנזין),4.0,1332.0,218,5500.0,45.8,1620.0,6.6,235.0,,,90.9,215.0,15.6,70.0,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,145.2,272.9,310.0,,1680.0,2155.0,475.0,750.0,1600.0,R17,35.0,2X4,1,5,1,A קלאס
16,מרצדס,A קלאס,A ADVANCED,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,136,5500.0,20.4,1460.0,8.8,215.0,13.8,24.3,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,355.0,,1365.0,,,675.0,1400.0,205/60R16,43.0,2X4,1,5,1,A קלאס
17,מרצדס,A קלאס,A PROGRESSIVE,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,136,5500.0,20.4,1460.0,8.8,215.0,13.8,24.3,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,355.0,,1365.0,,,675.0,1400.0,205/55R17,43.0,2X4,1,5,1,A קלאס
18,מרצדס,A קלאס,A STYLE,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,163,5500.0,25.4,1620.0,8.0,225.0,14.7,22.7,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,345.0,,1375.0,,,675.0,1600.0,205/60R16,43.0,2X4,1,5,1,A קלאס
19,מרצדס,A קלאס,A PROGRESSIVE,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,163,5500.0,25.4,1620.0,8.0,225.0,14.7,22.7,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,345.0,,1375.0,,,675.0,1600.0,205/55R17,43.0,2X4,1,5,1,A קלאס
20,מרצדס,A קלאס,A AMG LINE,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,163,5500.0,25.4,1620.0,8.0,225.0,14.7,22.7,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,355.0,,1375.0,,,675.0,1600.0,225/45R18,43.0,2X4,1,5,1,A קלאס
21,מרצדס,A קלאס,A AMG,2020,5,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1991.0,306,5800.0,40.7,3000.0,4.7,250.0,10.5,16.1,13.5,,,,,,ABS + EBD + BAS,6,יש,יש,443.6,179.7,140.5,272.9,370.0,,1555.0,,,750.0,2000.0,235/40R18,51.0,4X4,1,5,1,A קלאס
22,מרצדס,A קלאס,A S AMG,2020,5,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8.0,טורבו בנזין,4.0,1991.0,421,6750.0,50.9,5000.0,3.9,270.0,9.5,13.8,11.9,,,,,,ABS + EBD + BAS,6,יש,יש,444.5,185.0,141.2,272.9,370.0,,1635.0,,,750.0,1500.0,245/35R19,51.0,4X4,1,5,1,A קלאס
23,מרצדס,A קלאס,A STYLE,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,136,5500.0,20.4,1460.0,8.8,215.0,13.8,24.3,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,345.0,,1365.0,,,675.0,1400.0,205/60R16,43.0,2X4,1,5,1,A קלאס
24,מרצדס,A קלאס,A PROGRESSIVE,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,136,5500.0,20.4,1460.0,8.8,215.0,13.8,24.3,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,345.0,,1365.0,,,675.0,1400.0,205/55R17,43.0,2X4,1,5,1,A קלאס
25,מרצדס,A קלאס,A AMG LINE,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1991.0,224,5500.0,35.7,1800.0,6.2,250.0,12.3,19.6,16.1,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.5,272.9,345.0,,1455.0,,,725.0,1600.0,225/45R18,43.0,2X4,1,5,1,A קלאס
26,מרצדס,A קלאס,A STYLE,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,163,5500.0,25.4,1620.0,8.0,225.0,14.7,22.7,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,345.0,,1375.0,,,675.0,1600.0,205/60R16,43.0,2X4,1,5,1,A קלאס
27,מרצדס,A קלאס,A PROGRESSIVE,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,163,5500.0,25.4,1620.0,8.0,225.0,14.7,22.7,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,345.0,,1375.0,,,675.0,1600.0,205/55R17,43.0,2X4,1,5,1,A קלאס
28,מרצדס,A קלאס,A AMG LINE,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,163,5500.0,25.4,1620.0,8.0,225.0,14.7,22.7,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,345.0,,1375.0,,,675.0,1600.0,225/45R18,43.0,2X4,1,5,1,A קלאס
29,מרצדס,A קלאס,A AMG,2019,5,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1991.0,306,5800.0,40.7,3000.0,4.7,250.0,10.5,16.1,13.5,,,,,,ABS + EBD + BAS,6,יש,יש,443.6,179.7,140.5,272.9,370.0,,1555.0,,,750.0,2000.0,225/45R18,51.0,4X4,1,5,1,A קלאס
30,מרצדס,A קלאס,A S AMG,2019,5,5,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8.0,טורבו בנזין,4.0,1991.0,421,6750.0,50.9,5000.0,3.9,270.0,9.5,13.8,11.9,,,,,,ABS + EBD + BAS,6,יש,יש,444.5,185.0,141.2,272.9,370.0,,1635.0,,,750.0,1500.0,245/35R19,51.0,4X4,1,5,1,A קלאס
31,מרצדס,A קלאס,A STYLE,2018,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,136,5500.0,20.4,1460.0,8.8,215.0,13.8,24.3,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,345.0,,1365.0,,,675.0,1400.0,205/60R16,43.0,2X4,1,5,1,A קלאס
32,מרצדס,A קלאס,A PROGRESSIVE,2018,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,136,5500.0,20.4,1460.0,8.8,215.0,13.8,24.3,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,345.0,,1365.0,,,675.0,1400.0,205/55R17,43.0,2X4,1,5,1,A קלאס
33,מרצדס,A קלאס,A AMG LINE,2018,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1991.0,224,5500.0,35.7,1800.0,6.2,250.0,12.3,19.6,16.1,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.5,272.9,345.0,,1455.0,,,725.0,1600.0,225/45R18,43.0,2X4,1,5,1,A קלאס
34,מרצדס,A קלאס,A STYLE,2018,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,163,5500.0,25.4,1620.0,8.0,225.0,14.7,22.7,19.2,,,,,,ABS + EBD + BAS,6,יש,יש,441.9,179.6,144.0,272.9,345.0,,1375.0,,,675.0,1600.0,205/60R16,43.0,2X4,1,5,1,A קלאס
